_data_filename,_data__filedata_Area,_data__filedata_favor,_data__filedata_Content,_data__filedata_forward,_data__filedata_Follower,_data__filedata_Time,_data__filedata_comment,_data__filedata_ID,_data__filedata_Gender,,,,
Python_Fri_May_06_000000_CST_2022_0.json,法国,0,虽然已经用笨办法搞完了但还是想问，怎么用python把很多历史小时价格按时刻分成24组啊,0,102,05月06日 00:57,0,十·一·二,female,,,,
Python_Fri_May_06_000000_CST_2022_0.json,重庆,1,为什么要推我上一辩 为什么这场准备那么仓促偏偏要我上场且比赛结果那么重要 当初定我上场明明开始说定我上场是让我上四辩 为什么你一来向上四我就只能上一 我真的很痛苦 所以明天怎么办 还有python怎么办 完全都没复习 所以现在是睡还是改稿子,0,60,05月06日 00:57,1,教我化妆-,female,,,,
Python_Fri_May_06_000000_CST_2022_0.json,四川,1,呜呜哇哇python程序它跑了，它跑了啊妈妈爱你呜呜呜哇哇哇,0,8,05月06日 00:51,0,废弃护栏板,male,,,,
Python_Fri_May_06_000000_CST_2022_0.json,unknown,1,温故而知新！重学python,0,17,05月06日 00:49,0,清梦压星河lz,male,,,,2.760455876
Python_Fri_May_06_000000_CST_2022_0.json,湖北,1,想tla想赚钱想回家想学好高数和线代和Python想换寝室想去医院看脚踝想睡软床 大学生活怎么有这么多不满意的地方,0,170,05月06日 00:45,0,月亮在睡了,male,,,,8
Python_Fri_May_06_000000_CST_2022_0.json,广东,0,SQL书籍 数据分析 python,0,504,05月06日 00:29,0,兔子要努力咕咕,female,,,,
Python_Fri_May_06_000000_CST_2022_0.json,安徽,0,导师的任务已经火烧屁股了我的python学习还停留在hello world阶段明天开始！拒绝拖延！好好学习！,0,12,05月06日 00:19,0,灵魂的灰灰,female,,,,
Python_Fri_May_06_000000_CST_2022_0.json,北京,0,我感觉matlab是python的子集,0,142,05月06日 00:18,0,而我就是新的Jack,female,,,,
Python_Fri_May_06_000000_CST_2022_0.json,英国,1,我感觉matlab是python的子集,0,42,05月06日 00:14,0,JCStelloria,female,,,,3245
Python_Fri_May_06_000000_CST_2022_0.json,北京,0,我感觉matlab是python的子集,0,3,05月06日 00:09,0,Lincoln·Nostalgia,male,,,,
Python_Fri_May_06_000000_CST_2022_0.json,江苏,1,我感觉matlab是python的子集,0,35,05月06日 00:09,0,逆向风袭月_,female,,,,
Python_Fri_May_06_000000_CST_2022_1.json,上海,1,python老师，你完全没有瓶颈期是吗怎么每天都在更新啊这么多课真的看不完,0,506,05月06日 00:00,0,悲伤娃娃菜,female,,,,
Python_Fri_May_06_000000_CST_2022_1.json,unknown,1,Python 狗都不学,0,55,05月06日 01:50,0,青玦w,female,,,,
Python_Fri_May_06_000000_CST_2022_1.json,德国,3,whywhywhy为啥数学题里还得写编程题为啥我java python c语言都得学tm学一个都学不会还得学三个要死了要死了要死了??????,1,16,05月06日 01:34,8,Alors-yu,female,,,,
Python_Fri_May_06_000000_CST_2022_1.json,上海,0,想象中的办公自动化：Python ； 实际的办公自动化：Excel。,0,1181,05月06日 01:21,0,黄叫兽在拍照,male,,,,
Python_Fri_May_06_000000_CST_2022_2.json,河南,3,好了五排连输三把 菜菜今天诸事不顺睡觉明天好好工作好好学python准备面试,0,231,05月06日 01:05,0,陈小噫陈小璇,female,,,,
Python_Fri_May_06_000000_CST_2022_2.json,unknown,0,人性爆破日天赋认知营辨别源动力清除自我设限持续绽放的三大基石量化交易零基础入门系列天掌握Python数据分析品牌医生·品牌手册（原版）更多好课共享：kcc1422 注明微博,0,100,05月06日 02:39,1,意爻,male,,,,
Python_Fri_May_06_000000_CST_2022_2.json,unknown,1,把ukui桌面安装到deepin系统上，虽然解决了wine的问题，但像libc6，python3之类的，依旧版本太低，跟不上时代，无奈，还是ubuntu体验好，当然ubuntu的几个风味版也不错，比较ubuntu风味版他爹还是ubuntu，所以所有的底层依赖全部跟着ubuntu走，版本很新。银河麒麟和优麒麟好评。,0,9,05月06日 02:24,0,MacMonterey,male,,,,
Python_Fri_May_06_000000_CST_2022_2.json,unknown,1,哈哈哈哈哈哈 大实话//@黄叫兽在拍照:想象中的办公自动化：Python ； 实际的办公自动化：Excel。,0,242,05月06日 02:04,0,Horseman__,female,,,,
Python_Fri_May_06_000000_CST_2022_2.json,unknown,2,#计算机二级# @大头博士先生Day4也是第四节 感觉有点绕??def想半天输出的怎么是两个name最期待的文件输出部分快到了有点紧张#一定要搞懂python的日常#,0,84,05月06日 02:02,0,荒年如是,female,,,,
Python_Fri_May_06_000000_CST_2022_3.json,unknown,0,Bet all my money on this Brazlilian python,0,68,05月06日 02:00,0,用奖学金买法拉利,male,,,,
Python_Fri_May_06_000000_CST_2022_3.json,北京,3,我今年必拿下python,0,185,05月06日 03:27,4,横竖是个隐,male,,,,
Python_Fri_May_06_000000_CST_2022_4.json,辽宁,0,今天跟群里的程序员大佬从后台抓包分析了ib的存货，也推测了一下接下来的市场波动原来Python和爬虫是这么有用，后悔之前跟爬虫课每次都跟不下去虽然今天钱没有赚到，但是这回get到了什么叫技术改变生活，知识改变命运，又是努力理财的一天,0,28,05月06日 03:07,0,做产品不如种土豆,male,,,,
Python_Fri_May_06_000000_CST_2022_4.json,英国,0,我愿称python为世界上最好的语言,0,4,05月06日 04:37,0,夏日极限飞行,female,,,,
Python_Fri_May_06_000000_CST_2022_4.json,上海,0,好痛苦 上学的时候被python和写不完的方案折磨 不上学的时候被谜语法学人出的题折磨 心力交瘁了属于是,0,73,05月06日 04:37,1,凝血虫眼球混合液,male,,,,
Python_Fri_May_06_000000_CST_2022_5.json,美国,0,快要烦死只能用python分析数据的情况了 基础分析Excel动几下手指就能搞出来的东西 写code时间起码十倍 好上火,0,205,05月06日 04:12,0,小饺一袋,female,,,,
Python_Fri_May_06_000000_CST_2022_6.json,加拿大,1,快要烦死只能用python分析数据的情况了 基础分析Excel动几下手指就能搞出来的东西 写code时间起码十倍 好上火,0,75,05月06日 05:34,0,四十三千,male,,,,
Python_Fri_May_06_000000_CST_2022_6.json,湖北,0,『Python 城市公交网络分析与可视化』OPython 城市公交网络分析与可视化,0,216,05月06日 06:54,0,朔向望继,male,,,,
Python_Fri_May_06_000000_CST_2022_6.json,湖北,0,『一次性整理18条好用的Python技巧，速度收藏』O一次性整理18条好用的Python技巧，速度收藏,0,216,05月06日 06:53,0,朔向望继,male,,,,
Python_Fri_May_06_000000_CST_2022_6.json,unknown,0,//@黄叫兽在拍照:想象中的办公自动化：Python ； 实际的办公自动化：Excel。,0,279,05月06日 06:28,0,oI丨l丨l丨I丨l丨Io,male,,,,
Python_Fri_May_06_000000_CST_2022_6.json,湖北,0,『5分钟搞定几百张表格转换，Python办公自动化就是这么6！』O5分钟搞定几百张表格转换，Python办公自动化就是这么6！,0,216,05月06日 06:26,0,朔向望继,male,,,,
Python_Fri_May_06_000000_CST_2022_7.json,广东,1,//@黄叫兽在拍照:想象中的办公自动化：Python ； 实际的办公自动化：Excel。,3,2586,05月06日 06:06,3,BD7OMA,male,,,,
Python_Fri_May_06_000000_CST_2022_7.json,unknown,0,做梦都在梦考python,0,378,05月06日 07:38,0,清溪浪九爷,female,,,,
Python_Fri_May_06_000000_CST_2022_8.json,unknown,0,gis envi spss rhino ai ps vray gh python maya修炼中,0,4,05月06日 07:31,5,AllenCat33,male,,,,
